,image,label
0,1618198435.300621.0.jpg,0
1,1618198442.8838162.0.jpg,0
2,1618198443.5479355.3.jpg,1
3,1618198444.1551747.0.jpg,0
4,1618198445.5639067.0.jpg,0
5,1618198446.1320043.0.jpg,0
6,1618198446.5400834.3.jpg,1
7,1618198446.9959743.0.jpg,0
8,1618198447.3642921.3.jpg,1
9,1618198448.1239526.0.jpg,0
10,1618198448.4683268.3.jpg,1
11,1618198449.0439248.0.jpg,0
12,1618198449.4749625.3.jpg,1
13,1618198450.0040405.0.jpg,0
14,1618198450.7479398.0.jpg,0
15,1618198451.1879458.0.jpg,0
16,1618198451.7478282.0.jpg,0
17,1618198452.0685148.2.jpg,2
18,1618198452.643856.0.jpg,0
19,1618198452.8522854.2.jpg,2
20,1618198453.2672472.2.jpg,2
21,1618198453.675895.2.jpg,2
22,1618198454.396002.0.jpg,0
23,1618198454.9878333.0.jpg,0
24,1618198455.323054.2.jpg,2
25,1618198455.6919608.0.jpg,0
26,1618198456.059863.0.jpg,0
27,1618198456.291131.3.jpg,1
28,1618198456.7879663.3.jpg,1
29,1618198457.1961973.0.jpg,0
30,1618198457.8201532.3.jpg,1
31,1618198458.2031054.0.jpg,0
32,1618198458.8518786.3.jpg,1
33,1618198459.243908.0.jpg,0
34,1618198459.7397254.3.jpg,1
35,1618198460.1483364.0.jpg,0
36,1618198460.6120622.3.jpg,1
37,1618198461.0999947.0.jpg,0
38,1618198461.5719063.0.jpg,0
39,1618198462.0519059.0.jpg,0
40,1618198462.4272003.2.jpg,2
41,1618198462.9398937.0.jpg,0
42,1618198463.316132.0.jpg,0
43,1618198463.6198738.2.jpg,2
44,1618198464.0118618.0.jpg,0
45,1618198464.2919464.0.jpg,0
46,1618198464.8040318.0.jpg,0
47,1618198465.1878881.3.jpg,1
48,1618198465.5952697.0.jpg,0
49,1618198466.0358937.3.jpg,1
50,1618198466.5239034.0.jpg,0
51,1618198466.867997.0.jpg,0
52,1618198467.3550065.0.jpg,0
53,1618198467.907855.0.jpg,0
54,1618198468.4919918.0.jpg,0
55,1618198468.9958916.0.jpg,0
56,1618198469.731894.3.jpg,1
57,1618198470.0918412.0.jpg,0
58,1618198470.7241423.0.jpg,0
59,1618198471.5798347.3.jpg,1
60,1618198471.979866.0.jpg,0
61,1618198472.4518466.3.jpg,1
62,1618198472.9720137.0.jpg,0
63,1618198473.283899.3.jpg,1
64,1618198473.7399437.3.jpg,1
65,1618198474.1239321.0.jpg,0
66,1618198474.4679046.0.jpg,0
67,1618198474.9239585.0.jpg,0
68,1618198475.1479814.2.jpg,2
69,1618198475.55591.2.jpg,2
70,1618198475.9958963.0.jpg,0
71,1618198476.4679084.2.jpg,2
72,1618198476.915909.0.jpg,0
73,1618198477.2998114.2.jpg,2
74,1618198477.691828.0.jpg,0
75,1618198477.987971.0.jpg,0
76,1618198478.7639246.3.jpg,1
77,1618198479.1319203.0.jpg,0
78,1618198479.644273.3.jpg,1
79,1618198479.9721158.0.jpg,0
80,1618198480.2838948.0.jpg,0
81,1618198480.6998792.0.jpg,0
82,1618198481.123831.0.jpg,0
83,1618198481.676077.0.jpg,0
84,1618198482.2278507.0.jpg,0
85,1618198482.7560663.0.jpg,0
86,1618198483.2440736.0.jpg,0
87,1618198484.1557631.0.jpg,0
88,1618198484.5478907.3.jpg,1
89,1618198485.0438597.0.jpg,0
90,1618198485.4999626.0.jpg,0
91,1618198485.7479148.3.jpg,1
92,1618198486.4271185.0.jpg,0
93,1618198486.9880493.3.jpg,1
94,1618198487.347885.0.jpg,0
95,1618198487.7477996.0.jpg,0
96,1618198489.2758763.0.jpg,0
97,1618198491.043853.0.jpg,0
98,1618198491.5798945.0.jpg,0
99,1618198493.0838132.2.jpg,2
100,1618198493.6518774.0.jpg,0
101,1618198494.370985.0.jpg,0
102,1618198494.9398818.0.jpg,0
103,1618198495.6761103.3.jpg,1
104,1618198496.1719027.0.jpg,0
105,1618198496.7398949.3.jpg,1
106,1618198497.707841.0.jpg,0
107,1618198498.1238434.3.jpg,1
108,1618198498.588407.0.jpg,0
109,1618198498.964034.3.jpg,1
110,1618198499.4918845.0.jpg,0
111,1618198499.8519554.3.jpg,1
112,1618198500.3878682.0.jpg,0
113,1618198500.787976.3.jpg,1
114,1618198501.603802.3.jpg,1
115,1618198502.1477923.3.jpg,1
116,1618198502.6598144.0.jpg,0
117,1618198503.1159341.0.jpg,0
118,1618198503.6038601.0.jpg,0
119,1618198504.500314.2.jpg,2
120,1618198504.9001355.0.jpg,0
121,1618198505.315775.2.jpg,2
122,1618198505.787918.0.jpg,0
123,1618198506.1310272.2.jpg,2
124,1618198506.6520526.2.jpg,2
125,1618198507.1158733.2.jpg,2
126,1618198507.6838663.0.jpg,0
127,1618198508.346995.0.jpg,0
128,1618198508.8198473.0.jpg,0
129,1618198509.2359822.0.jpg,0
130,1618198509.6759675.0.jpg,0
131,1618198510.107865.3.jpg,1
132,1618198510.748112.0.jpg,0
133,1618198510.9870152.3.jpg,1
134,1618198511.2837157.3.jpg,1
135,1618198511.9070334.0.jpg,0
136,1618198512.332155.3.jpg,1
137,1618198512.7958646.0.jpg,0
138,1618198513.1798341.0.jpg,0
139,1618198513.732309.0.jpg,0
140,1618198514.1717932.0.jpg,0
141,1618198514.6924446.0.jpg,0
142,1618198515.1398904.2.jpg,2
143,1618198515.6279693.0.jpg,0
144,1618198516.0919247.0.jpg,0
145,1618198516.5718472.0.jpg,0
146,1618198517.1556652.0.jpg,0
147,1618198517.6681192.0.jpg,0
148,1618198518.1239607.0.jpg,0
149,1618198518.6198695.3.jpg,1
150,1618198519.1160686.0.jpg,0
151,1618198519.596069.0.jpg,0
152,1618198521.8679383.0.jpg,0
153,1618198522.3635743.3.jpg,1
154,1618198522.8361924.0.jpg,0
155,1618198523.395502.0.jpg,0
156,1618198525.3399532.0.jpg,0
157,1618198525.9315279.3.jpg,1
